cluster,text,frequency
65,officer's,21
65,departure,21
65,system,21
65,returned,20
65,airport,15
65,failed,15
65,resulting,14
66,takeoff,231
66,rejected,131
66,crew,121
66,captain,87
66,eicas,46
66,warning,46
66,due,42
66,engine,41
66,rejecting,34
66,officer,31
66,first,30
66,returned,30
66,kts,27
66,maintenance,26
66,message,21
66,gate,21
66,light,19
66,speed,19
66,right,18
66,caution,18
67,fuel,36
67,leak,12
67,crew,11
67,wing,10
67,right,8
67,departure,6
67,airport,6
67,captain,5
67,vent,4
67,pilot,4
67,passenger,3
67,venting,3
67,spill,3
67,returned,3
67,first,3
67,officer,3
67,noticed,2
67,informed,2
67,maintenance,2
67,fueling,2
68,fuel,217
68,crew,74
68,captain,46
68,tank,40
68,imbalance,39
68,center,20
68,left,19
68,quantity,18
68,system,15
68,leak,15
68,wing,15
68,first,13
68,departure,12
68,mel,11
68,officer,11
68,valve,10
68,crossfeed,10
68,resulted,10
68,resulting,10
68,engine,10
69,filter,13
69,crew,11
69,engine,10
69,eicas,7
69,oil,7
69,light,7
69,declared,6
69,emergency,6
69,airport,6
69,shut,6
69,bypass,6
69,diverted,5
69,fuel,5
69,message,5
69,right,4
69,illuminated,4
69,captain,4
69,l,4
69,nearest,4
69,suitable,4
70,oil,271
70,engine,195
70,pressure,110
70,crew,83
70,loss,63
70,shut,51
70,departure,50
70,quantity,45
70,airport,42
70,diverted,42
70,pilot,42
70,captain,41
70,emergency,40
70,low,35
70,temperature,35
70,suitable,28
70,high,28
70,declared,28
70,shutdown,26
70,left,25
71,vibration,50
71,crew,41
71,captain,24
71,engine,22
71,departure,19
71,maintenance,16
71,loud,13
71,returned,12
71,airport,11
71,landing,10
71,noise,9
71,right,9
71,vibrations,8
71,control,8
71,return,7
71,declared,7
71,emergency,7
71,developed,6
71,diverted,6
71,climbing,6
72,engine,50
72,compressor,43
72,crew,33
72,departure,22
72,stall,21
72,stalls,16
72,declared,16
72,returned,16
72,emergency,15
72,right,13
72,number,12
72,airport,12
72,captain,11
72,left,9
72,takeoff,9
72,experienced,8
72,experiencing,8
72,landing,7
72,diverted,7
72,vibration,6
73,engine,22
73,inflight,17
73,shutdown,11
73,crew,8
73,landing,4
73,officer,4
73,causing,4
73,captain,3
73,#2,3
73,diversion,3
73,failure,3
73,precautionary,3
73,shutdown;,3
73,uncommanded,3
73,resulting,2
73,following,2
73,shut,2
73,first,2
73,#1,2
73,caused,2
74,engine,118
74,crew,62
74,departure,52
74,emergency,34
74,failure,32
74,returned,32
74,airport,25
74,declared,25
74,airport.a,19
74,captain,19
74,left,19
74,high,17
74,right,17
74,shut,15
74,diverted,14
74,egt,14
74,number,13
74,failed,13
74,shortly,12
74,experienced,12
75,jet,22
75,bridge,19
75,gate,11
75,agent,11
75,door,8
75,personnel,7
75,captain,6
75,ramp,6
75,crew,6
75,jetbridge,5
75,stop,4
75,damage,4
75,maintenance,4
75,jetway,3
75,leaving,3
75,gap,3
75,child,3
75,fall,3
75,operating,3
75,operator,3
76,takeoff,22
76,runway,20
76,crew,16
76,rejected,14
76,due,9
76,captain,7
76,cleared,5
76,carrier,5
76,pilot,4
76,departure,4
76,reports,3
76,atc,3
76,raas,3
76,tower,3
76,warning,3
76,delay,3
76,mixture,3
76,departing,3
76,speed,3
76,resulted,3
77,pilot,74
77,vfr,44
77,imc,16
77,airport,16
77,conditions,13
77,atc,11
77,cloud,11
77,airspace,11
77,flying,11
77,weather,10
77,entering,9
77,class,9
77,ifr,8
77,clouds,8
77,encountered,7
77,enroute,7
77,fuel,7
77,instructor,7
77,destination,6
77,low,6
78,pilot,47
78,tfr,47
78,reports,15
78,atc,11
78,near,9
78,vfr,8
78,tower,8
78,inadvertently,7
78,class,7
78,prior,7
78,entered,6
78,sporting,6
78,helicopter,6
78,briefing,6
78,ipad,6
78,advised,5
78,notam,5
78,show,5
78,discovering,5
78,faa,5
79,pilot,35
79,ctaf,28
79,frequency,18
79,landing,15
79,radio,13
79,runway,11
79,traffic,9
79,airport,8
79,ground,8
79,pattern,7
79,incorrect,7
79,reports,6
79,conflict,6
79,tower,6
79,near,6
79,landed,5
79,another,4
79,position,4
79,avoid,4
79,later,4
80,pilot,37
80,atc,34
80,crew,28
80,frequency,25
80,approach,23
80,communications,23
80,runway,22
80,communication,17
80,radio,14
80,captain,14
80,carrier,14
80,lost,12
80,due,10
80,airport,9
80,clearance,9
80,contact,8
80,cleared,8
80,landing,8
80,loss,8
80,tower,8
81,tower,48
81,pilot,35
81,without,11
81,runway,10
81,controller,10
81,captain,10
81,carrier,10
81,due,9
81,radio,9
81,contact,8
81,airport,8
81,reports,8
81,landing,7
81,crew,7
81,closed,7
81,traffic,6
81,tower.,6
81,atc,6
81,approach,6
81,frequency,6
82,tcas,183
82,ra,143
82,crew,100
82,traffic,94
82,atc,67
82,captain,63
82,feet,58
82,officer,51
82,first,48
82,climb,46
82,carrier,44
82,ft,44
82,evasive,43
82,approach,43
82,vfr,35
82,action,31
